code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002495,2024-04-26,2023-12-31,21.407813,16.816290,7.657663,47.011505,0.722055,0.217025
sz.002496,2024-04-25,2023-12-31,2.904309,123.953735,1.782756,201.929549,0.498938,0.076802
sz.002497,2024-04-26,2023-12-31,7.788447,46.222307,3.697150,97.373617,1.254842,0.813201
sz.002498,2024-04-26,2023-12-31,2.523453,142.661651,6.021984,59.780804,1.311175,0.952878
sz.002500,2024-04-30,2023-12-31,,,,,,0.043249
sz.002501,2024-04-29,2023-12-31,1.843818,195.246989,7.311990,49.234136,0.930960,0.268630
sz.002502,2024-04-30,2023-12-31,4.113171,87.523703,3.634138,99.061666,1.013902,0.266961
sz.002503,2024-04-29,2023-12-31,0.097045,3709.620377,1.228740,292.992594,0.047329,0.020451
sz.002504,2024-04-30,2023-12-31,0.053229,6763.229753,0.272510,1321.100917,0.037853,0.035282
sz.002505,2024-04-26,2023-12-31,5.444096,66.126675,7.462282,48.242499,1.872142,1.093016
sz.002506,2024-04-27,2023-12-31,13.880380,25.935890,10.419846,34.549607,1.895639,1.090287
sz.002507,2024-03-30,2023-12-31,304.894957,1.180735,2.500289,143.982722,0.357768,0.282059
sz.002508,2024-04-25,2023-12-31,4.412210,81.591772,3.527102,102.066854,0.940116,0.704093
sz.002510,2024-04-26,2023-12-31,3.396057,106.005278,1.330083,270.656342,0.748157,0.471290
sz.002511,2024-04-25,2023-12-31,7.626154,47.205968,4.043915,89.022973,1.870394,1.095486
sz.002512,2024-04-30,2023-12-31,10.049619,35.822253,3.895035,92.426187,1.368072,0.424144
sz.002513,2024-04-30,2023-12-31,7.577188,47.511029,13.372236,26.921524,1.799252,0.714495
sz.002514,2024-04-30,2023-12-31,1.222850,294.394247,1.993552,180.577849,0.577865,0.221802
sz.002515,2024-04-23,2023-12-31,12.887020,27.935085,0.690765,521.134916,0.230570,0.148192
