code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600072,2024-04-27,2023-12-31,0.021699,3.728478,0.520997,1.139810,0.009800,0.889697,0.310634,0.035461
sh.600073,2024-03-28,2023-12-31,0.046057,3.176341,1.437793,-1.667046,-0.006050,1.706876,50.864891,-0.000070
sh.600075,2024-03-23,2023-12-31,-0.077988,2.067707,0.557681,0.900044,-0.075143,1.051750,1.532821,-0.046611
sh.600076,2024-04-20,2023-12-31,-0.066106,1.572266,0.034862,1.006497,-1.198263,1.036315,1.333714,-0.866957
sh.600077,2024-04-30,2023-12-31,0.204409,35.625121,0.405912,0.454740,0.031085,0.563933,0.738538,0.074636
sh.600078,2024-04-13,2023-12-31,-0.031745,2.914111,0.555326,-1.991897,0.009848,2.234437,0.109716,0.040171
sh.600079,2024-03-29,2023-12-31,0.133070,2.251433,0.679099,0.758182,0.114793,0.831976,0.919719,0.150020
sh.600080,2024-04-27,2023-12-31,-0.025821,1.228999,0.276957,1.000000,-0.075858,1.044720,0.970074,-0.074851
sh.600081,2024-03-30,2023-12-31,0.034798,2.520042,0.701404,0.463915,0.042436,0.857886,1.018427,0.048571
sh.600082,2024-04-30,2023-12-31,0.007194,1.624287,0.161057,1.000000,0.027500,0.742774,0.230642,0.160525
sh.600083,2024-04-30,2023-12-31,-3.345588,26.358897,0.286451,0.618023,-0.716952,0.930515,1.192788,-0.645957
sh.600084,2024-04-27,2023-12-31,0.002877,1.095401,0.151160,0.787506,0.022066,0.992425,1.224216,0.018163
sh.600085,2024-03-29,2023-12-31,0.134230,2.297739,0.625229,0.646027,0.144630,0.838531,1.041798,0.165560
sh.600088,2024-04-20,2023-12-31,0.211144,1.449884,0.684286,0.989731,0.215026,0.962455,1.007513,0.221748
sh.600089,2024-04-09,2023-12-31,0.177994,3.012089,0.542229,0.759433,0.143504,0.833855,0.936801,0.183707
sh.600091,2024-04-29,2023-12-31,-0.578733,1.541079,0.001375,1.001987,-272.629083,1.000001,0.997630,-273.276623
