code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.002145,2024-04-18,2023-12-31,0.530626,0.469374,0.549820,,-0.068154,-0.803367,-0.068154
sz.002146,2024-04-29,2023-12-31,0.893265,0.106735,0.092178,2.378161,-0.025146,-0.964942,-0.025146
sz.002147,2024-04-29,2023-12-31,0.519298,0.480702,-0.514957,0.017206,-0.012621,,-0.012621
sz.002148,2024-03-29,2023-12-31,0.524734,0.475266,0.888060,,0.161456,1.720927,0.161456
sz.002149,2024-04-02,2023-12-31,0.637600,0.362400,0.393773,8.267731,0.073551,0.847520,0.073551
sz.002150,2024-04-25,2023-12-31,0.677367,0.322633,0.279092,238.966064,0.099916,2.477066,0.099916
sz.002151,2024-03-28,2023-12-31,0.558898,0.441102,0.685869,,-0.052180,,-0.052180
sz.002152,2024-03-30,2023-12-31,0.719057,0.280943,0.376585,,0.166152,1.181671,0.166152
sz.002153,2024-04-30,2023-12-31,0.598464,0.401536,0.457146,,0.023080,,0.023080
sz.002154,2024-04-12,2023-12-31,0.646212,0.353788,0.542089,,0.219590,1.582733,0.219590
sz.002155,2024-03-26,2023-12-31,0.224959,0.775041,0.548051,1009.273325,0.042767,2.015364,0.042767
sz.002156,2024-04-13,2023-12-31,0.349339,0.650661,0.336712,1.447459,0.192761,19.873876,0.192761
sz.002157,2024-04-30,2023-12-31,0.245488,0.754512,0.550194,11.050578,-0.197866,-0.177900,-0.197866
sz.002158,2024-04-27,2023-12-31,0.727710,0.272290,0.533331,1795.625590,0.200517,0.890868,0.200517
sz.002159,2024-04-24,2023-12-31,0.145575,0.854425,0.594545,15.939693,0.460040,2.352132,0.460040
sz.002160,2024-04-12,2023-12-31,0.645962,0.354038,0.366100,1.399364,-0.031655,-10.971522,-0.031655
sz.002161,2024-04-03,2023-12-31,0.365058,0.634942,0.266934,1.893752,0.111320,2.419950,0.111320
sz.002162,2024-03-30,2023-12-31,0.376177,0.623823,0.354413,2.841320,0.096715,2.573556,0.096715
sz.002163,2024-04-19,2023-12-31,0.578353,0.421647,0.162262,6.505690,0.033070,1.633671,0.033070
